company_id,fiscal_year,computed_eps,published_eps,eps_rel_error_pct,computed_pe,published_pe,pe_rel_error_pct,check_scope,source_url
asml,2024,19.265803,19.24,0.134,73.1971,,,historical,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2025,24.321847,24.71,1.571,57.9808,,,historical,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2026,38.333351,37.88,1.197,37.2281,38.2,2.544,forecast,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2027,50.579088,51.54,1.864,27.3613,28.1,2.629,forecast,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
asml,2028,63.004489,66.73,5.583,22.3825,,,forecast,https://www.marketscreener.com/quote/stock/ASML-HOLDING-N-V-12002973/finances/
cxmt,2025,,0.03,,,,,historical,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/
cxmt,2026,3.307838,3.068,7.817,16.4216,,,forecast,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/
cxmt,2027,4.994534,4.754,5.060,10.8759,,,forecast,https://www.marketscreener.com/quote/stock/CXMT-CORPORATION-213965109/finances/
intel,2024,-4.348713,-4.38,0.714,,,,historical,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/
intel,2025,-0.055975,-0.06,6.709,,,,historical,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/
intel,2026,-2.245493,-2.307,2.666,-38.6216,-39,0.970,forecast,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/
intel,2027,1.531442,1.588,3.562,56.1083,56.7,1.044,forecast,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/
intel,2028,2.555892,2.05,24.678,34.8606,,,forecast,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/finances/
lam-research,2024,2.927926,2.9,0.963,98.4724,,,historical,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/
lam-research,2025,4.188824,4.15,0.936,68.8308,,,historical,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/
lam-research,2026,5.809346,5.76,0.857,49.6304,,,forecast,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/
lam-research,2027,9.413252,9.406,0.077,30.6528,30.7,0.154,forecast,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/
lam-research,2028,11.640498,11.65,0.082,24.7485,24.8,0.208,forecast,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/
applied-materials,2024,8.705683,8.61,1.111,49.1219,,,historical,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/
applied-materials,2025,8.784372,8.66,1.436,48.6819,,,historical,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/
applied-materials,2026,13.277520,13.19,0.664,32.4215,33.2,2.345,forecast,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/
applied-materials,2027,18.417408,18.44,0.123,23.1909,23.8,2.559,forecast,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/
applied-materials,2028,23.335522,23.92,2.443,18.3257,,,forecast,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/
arm,2024,0.297644,0.29,2.636,775.3567,,,historical,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/
arm,2025,0.751423,0.75,0.190,307.1239,,,historical,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/
arm,2026,0.851224,0.85,0.144,271.1154,,,forecast,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/
arm,2027,1.260206,1.257,0.255,183.5959,187,1.820,forecast,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/
arm,2028,1.825708,1.806,1.091,127.7852,130,1.704,forecast,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/
texas-instruments,2024,5.260810,5.2,1.169,48.4336,,,historical,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/
texas-instruments,2025,5.503933,5.45,0.990,46.2942,,,historical,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/
texas-instruments,2026,8.555179,8.506,0.578,29.9553,30,0.149,forecast,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/
texas-instruments,2027,10.080504,10.1,0.193,25.2277,25.2,0.110,forecast,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/
texas-instruments,2028,11.401065,11.6,1.715,22.3488,,,forecast,https://www.marketscreener.com/quote/stock/TEXAS-INSTRUMENTS-INCORPO-9730651/finances/
kla,2024,2.051396,2.028,1.154,83.3969,,,historical,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/
kla,2025,3.071655,3.037,1.141,55.6964,,,historical,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/
kla,2026,3.698302,3.66,1.047,46.2591,,,forecast,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/
kla,2027,5.369880,5.395,0.466,31.7108,31.9,0.593,forecast,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/
kla,2028,6.536313,6.71,2.588,25.4963,25.7,0.793,forecast,https://www.marketscreener.com/quote/stock/KLA-CORPORATION-40328827/finances/
sandisk,2024,,-4.667,,,,,historical,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/
sandisk,2025,-11.293952,-11.32,0.230,,,,historical,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/
sandisk,2026,77.203052,73.76,4.668,20.1210,,,forecast,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/
sandisk,2027,228.132961,218.4,4.456,7.1126,7.11,0.037,forecast,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/
sandisk,2028,262.247386,271.3,3.337,5.7258,5.73,0.074,forecast,https://www.marketscreener.com/quote/stock/SANDISK-CORPORATION-182801077/finances/
mediatek,2024,66.746597,66.92,0.259,64.0482,,,historical,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/
mediatek,2025,65.983767,66.16,0.266,64.7887,,,historical,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/
mediatek,2026,68.400433,68.64,0.349,62.2815,62.3,0.030,forecast,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/
mediatek,2027,145.977604,144.5,1.023,29.5848,29.6,0.051,forecast,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/
mediatek,2028,272.908795,277.4,1.619,15.6646,,,forecast,https://www.marketscreener.com/quote/stock/MEDIATEK-INC-6495333/finances/
marvell,2024,-1.079699,-1.08,0.028,,,,historical,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/
marvell,2025,-1.022767,-1.02,0.271,,,,historical,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/
marvell,2026,3.148214,3.07,2.548,65.7262,,,forecast,https://www.marketscreener.com/quote/stock/MARVELL-TECHNOLOGY-GROUP--4934/finances/
