company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
texas-instruments,2028,USD,1,0,11.6,11.6,12.9352,12.9352,1,reported-usd,reported-usd,21.97,20.05,0.28,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
kla,2027,USD,0.49589,0.50411,6.0579,6.0579,5.1709,5.1709,1,reported-usd,reported-usd,28.24,33.33,0.17,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
kla,2028,USD,0.497268,0.502732,7.3776,7.3776,5.9671,5.9671,1,reported-usd,reported-usd,23.19,28.7,0.02,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
sandisk,2027,USD,0.50137,0.49863,244.7775,244.7775,230.1681,230.1681,1,reported-usd,reported-usd,6.35,5.2,-1.23,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
sandisk,2028,USD,0.497268,0.502732,276.5284,276.5284,251.0172,251.0172,1,reported-usd,reported-usd,5.62,4.05,-1.83,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
mediatek,2027,TWD,1,0,144.5,4.5505,105.7959,3.3316,0.031491103763,official-fx,official-fx,29.58,38.75,-0.98,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
mediatek,2028,TWD,1,0,277.4,8.7356,196.9004,6.2006,0.031491103763,official-fx,official-fx,15.41,20.27,-0.88,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
marvell,2027,USD,0.082192,0.917808,4.3208,4.3208,5.4827,5.4827,1,reported-usd,reported-usd,47.89,36.81,-0.65,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
marvell,2028,USD,0.079235,0.920765,7.7035,7.7035,7.9715,7.9715,1,reported-usd,reported-usd,26.86,24.61,-0.93,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
qualcomm,2027,USD,0.736986,0.263014,7.8937,7.8937,10.2761,10.2761,1,reported-usd,reported-usd,21.06,16.88,0.51,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
qualcomm,2028,USD,0.73224,0.26776,10.37,10.37,11.4263,11.4263,1,reported-usd,reported-usd,16.03,15.16,0.43,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
analog-devices,2027,USD,0.830137,0.169863,13.8875,13.8875,14.9808,14.9808,1,reported-usd,reported-usd,25.61,24.26,0.35,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
analog-devices,2028,USD,0.825137,0.174863,15.39,15.39,16.0515,16.0515,1,reported-usd,reported-usd,23.11,22.49,0.22,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
kioxia,2027,JPY,0.246575,0.753425,13341.4795,85.5148,11894.2937,76.2387,0.006409690414,official-fx,official-fx,3.82,3.33,-0.6,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
kioxia,2028,JPY,0.248634,0.751366,15896.6639,101.8927,14837.3483,95.1028,0.006409690414,official-fx,official-fx,3.21,1.99,-0.98,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-03
tokyo-electron,2027,JPY,0.246575,0.753425,2170.137,13.9099,1317.1212,8.4423,0.006409690414,official-fx,official-fx,24.56,39.87,-0.26,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
tokyo-electron,2028,JPY,0.248634,0.751366,2701.9372,17.3186,2056.6958,13.1828,0.006409690414,official-fx,official-fx,19.73,25.39,-0.3,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
advantest,2027,JPY,0.246575,0.753425,1084.9151,6.954,906.6426,5.8113,0.006409690414,official-fx,official-fx,29.75,34.44,-0.72,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
advantest,2028,JPY,0.248634,0.751366,1251.2022,8.0198,1239.6522,7.9458,0.006409690414,official-fx,official-fx,25.8,24.76,-0.95,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
