company_id,valuation_date,price,price_currency,price_source_url,forecast_source_url,input_status,reporting_currency,price_to_reporting_fx,fx_source_url
cadence,2026-09-03,306.67,USD,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/,available,USD,1,
synopsys,2026-09-03,415.69,USD,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/,https://www.marketscreener.com/quote/stock/SYNOPSYS-INC-4908/finances/,available,USD,1,
lumentum,2026-09-03,870.58,USD,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/,https://www.marketscreener.com/quote/stock/LUMENTUM-HOLDINGS-INC-23132759/finances/,available,USD,1,
smic,2026-09-03,67.4,HKD,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/,https://www.marketscreener.com/quote/stock/SMIC-SEMICONDUCTOR-MANUFA-6170774/finances/,available,USD,0.12741612833352445,"https://api.frankfurter.dev/v2/rates?date=2026-09-03&base=USD&quotes=EUR,HKD"
naura,2026-09-03,667.7,CNY,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/,https://www.marketscreener.com/quote/stock/NAURA-TECHNOLOGY-GROUP-CO-6970734/finances/,available,CNY,1,
samsung-electro-mechanics,2026-09-03,1400000,KRW,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRO-MECHANICS-6492387/finances/,available,KRW,1,
shin-etsu,2026-09-03,5859,JPY,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/,https://www.marketscreener.com/quote/stock/SHIN-ETSU-CHEMICAL-CO-LTD-6491197/finances/,available,JPY,1,
monolithic-power,2026-09-03,1219.36,USD,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/,https://www.marketscreener.com/quote/stock/MONOLITHIC-POWER-SYSTEMS--10076/finances/,available,USD,1,
nxp,2026-09-03,229.4,USD,https://www.marketscreener.com/quote/stock/NXP-SEMICONDUCTORS-N-V-6467512/,https://www.marketscreener.com/quote/stock/NXP-SEMICONDUCTORS-N-V-6467512/finances/,available,USD,1,
teradyne,2026-09-03,341.62,USD,https://www.marketscreener.com/quote/stock/TERADYNE-INC-47342162/,https://www.marketscreener.com/quote/stock/TERADYNE-INC-47342162/finances/,available,USD,1,
coherent,2026-09-03,259.4,USD,https://www.marketscreener.com/quote/stock/COHERENT-CORP-9656/,https://www.marketscreener.com/quote/stock/COHERENT-CORP-9656/finances/,available,USD,1,
nanya-technology,2026-09-03,477.5,TWD,https://www.marketscreener.com/quote/stock/NANYA-TECHNOLOGY-CORPORAT-6491619/,https://www.marketscreener.com/quote/stock/NANYA-TECHNOLOGY-CORPORAT-6491619/finances/,available,TWD,1,
amec,2026-09-03,350.52,CNY,https://www.marketscreener.com/quote/stock/ADVANCED-MICRO-FABRICATIO-64752214/,https://www.marketscreener.com/quote/stock/ADVANCED-MICRO-FABRICATIO-64752214/finances/,available,CNY,1,
hoya,2026-09-03,24460,JPY,https://www.marketscreener.com/quote/stock/HOYA-CORPORATION-6491345/,https://www.marketscreener.com/quote/stock/HOYA-CORPORATION-6491345/finances/,available,JPY,1,
astera-labs,2026-09-03,275.92,USD,https://www.marketscreener.com/quote/stock/ASTERA-LABS-INC-167508773/,https://www.marketscreener.com/quote/stock/ASTERA-LABS-INC-167508773/finances/,available,USD,1,
umc,2026-09-03,132.5,TWD,https://www.marketscreener.com/quote/stock/UNITED-MICROELECTRONICS-C-6494400/,https://www.marketscreener.com/quote/stock/UNITED-MICROELECTRONICS-C-6494400/finances/,available,TWD,1,
unimicron,2026-09-03,973,TWD,https://www.marketscreener.com/quote/stock/UNIMICRON-TECHNOLOGY-CORP-6496098/,https://www.marketscreener.com/quote/stock/UNIMICRON-TECHNOLOGY-CORP-6496098/finances/,available,TWD,1,
asm-international,2026-09-03,771,EUR,https://www.marketscreener.com/quote/stock/ASM-INTERNATIONAL-N-V-6312/,https://www.marketscreener.com/quote/stock/ASM-INTERNATIONAL-N-V-6312/finances/,available,EUR,1,
stmicroelectronics,2026-09-03,43.52,EUR,https://www.marketscreener.com/quote/stock/STMICROELECTRONICS-N-V-4710/,https://www.marketscreener.com/quote/stock/STMICROELECTRONICS-N-V-4710/finances/,available,USD,1.1595816229504394,"https://api.frankfurter.dev/v2/rates?date=2026-09-03&base=USD&quotes=EUR,HKD"
credo,2026-09-03,166.54,USD,https://www.marketscreener.com/quote/stock/CREDO-TECHNOLOGY-GROUP-HO-132401547/,https://www.marketscreener.com/quote/stock/CREDO-TECHNOLOGY-GROUP-HO-132401547/finances/,available,USD,1,
cerebras,2026-09-04,210.05,USD,https://www.marketscreener.com/quote/stock/CEREBRAS-SYSTEMS-INC-212191339/,https://www.marketscreener.com/quote/stock/CEREBRAS-SYSTEMS-INC-212191339/finances/,available,USD,1,
gigadevice,2026-09-03,388.86,CNY,https://www.marketscreener.com/quote/stock/GIGADEVICE-SEMICONDUCTOR--42843923/,https://www.marketscreener.com/quote/stock/GIGADEVICE-SEMICONDUCTOR--42843923/finances/,available,CNY,1,
metax,2026-09-03,672.73,CNY,https://www.marketscreener.com/quote/stock/METAX-INTEGRATED-CIRCUITS-201029032/,https://www.marketscreener.com/quote/stock/METAX-INTEGRATED-CIRCUITS-201029032/finances/,available,CNY,1,
microchip,2026-09-03,71.41,USD,https://www.marketscreener.com/quote/stock/MICROCHIP-TECHNOLOGY-INCO-4887/,https://www.marketscreener.com/quote/stock/MICROCHIP-TECHNOLOGY-INCO-4887/finances/,available,USD,1,
